,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
0,IO2104-P-4450.CFX,20210416,CFFEX,0.2,0.2,0.2,0.2,0.2,0.2,0.0,41.0,0.082,0.0
1,IO2104-P-4450.CFX,20210415,CFFEX,0.2,0.2,0.2,0.2,0.2,0.2,0.2,103.0,0.206,520.0
2,IO2104-P-4450.CFX,20210414,CFFEX,0.2,0.2,0.4,0.4,0.2,0.2,0.2,149.0,0.402,558.0
3,IO2104-P-4450.CFX,20210413,CFFEX,0.2,0.2,0.2,0.2,0.2,0.2,0.2,24.0,0.048,575.0
4,IO2104-P-4450.CFX,20210412,CFFEX,0.2,0.2,0.2,0.6,0.2,0.2,0.2,115.0,0.43,597.0
5,IO2104-P-4450.CFX,20210409,CFFEX,0.2,0.2,0.4,0.6,0.2,0.2,0.2,97.0,0.35,617.0
6,IO2104-P-4450.CFX,20210408,CFFEX,0.4,0.4,0.6,0.6,0.2,0.2,0.2,123.0,0.316,659.0
7,IO2104-P-4450.CFX,20210407,CFFEX,0.8,0.8,1.0,1.2,0.4,0.4,0.4,210.0,1.746,685.0
8,IO2104-P-4450.CFX,20210406,CFFEX,1.0,1.0,1.0,1.0,0.6,0.8,0.8,43.0,0.332,763.0
9,IO2104-P-4450.CFX,20210402,CFFEX,1.0,1.0,1.2,1.2,0.8,1.0,1.0,218.0,2.364,795.0
10,IO2104-P-4450.CFX,20210401,CFFEX,2.2,2.2,1.6,1.6,1.0,1.0,1.0,469.0,6.166,864.0
11,IO2104-P-4450.CFX,20210331,CFFEX,2.0,2.0,2.2,3.0,2.0,2.2,2.2,198.0,4.94,1140.0
12,IO2104-P-4450.CFX,20210330,CFFEX,2.8,2.8,2.2,2.8,1.8,2.0,2.0,191.0,4.442,1141.0
13,IO2104-P-4450.CFX,20210329,CFFEX,3.0,3.0,2.4,3.2,2.2,2.8,2.8,406.0,10.6,1149.0
14,IO2104-P-4450.CFX,20210326,CFFEX,7.8,7.8,5.8,6.2,3.0,3.0,3.0,635.0,29.01,1223.0
15,IO2104-P-4450.CFX,20210325,CFFEX,8.6,8.6,9.0,12.8,6.6,7.8,7.8,641.0,59.172,1290.0
16,IO2104-P-4450.CFX,20210324,CFFEX,6.6,6.6,7.6,10.0,6.2,8.6,8.6,807.0,68.556,1274.0
17,IO2104-P-4450.CFX,20210323,CFFEX,7.2,7.2,6.8,9.6,6.0,6.6,6.6,958.0,78.038,1166.0
18,IO2104-P-4450.CFX,20210322,CFFEX,12.8,12.8,10.6,13.2,6.8,7.2,7.2,1172.0,110.876,1329.0
19,IO2104-P-4450.CFX,20210319,CFFEX,9.0,9.0,12.2,15.0,8.4,12.8,12.8,820.0,89.6,1041.0
20,IO2104-P-4450.CFX,20210318,CFFEX,13.8,13.8,11.6,12.8,8.6,9.0,9.0,569.0,58.39,941.0
21,IO2104-P-4450.CFX,20210317,CFFEX,11.2,11.2,10.8,16.4,10.2,13.8,13.8,441.0,56.298,886.0
22,IO2104-P-4450.CFX,20210316,CFFEX,11.8,11.8,10.6,15.4,9.6,11.2,11.2,503.0,62.628,672.0
23,IO2104-P-4450.CFX,20210315,CFFEX,9.6,9.6,9.8,15.8,9.4,11.8,11.8,277.0,34.478,462.0
24,IO2104-P-4450.CFX,20210312,CFFEX,12.6,12.6,12.8,13.4,9.4,9.6,9.6,274.0,32.09,378.0
25,IO2104-P-4450.CFX,20210311,CFFEX,24.0,23.4,20.0,21.2,11.4,12.6,12.6,358.0,56.136,295.0
26,IO2104-P-4450.CFX,20210310,CFFEX,23.6,23.6,20.6,26.6,17.8,23.4,24.0,367.0,84.758,174.0
